"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  "
"AKZOINDIA","EQ","07-Feb-2025","3,633.25","3,685.15","3,807.95","3,513.35","3,620.95","3,620.15","3,620.01","29,487","10,67,43,121.85","6,687"
"AKZOINDIA","EQ","06-Feb-2025","3,737.60","3,769.60","3,769.60","3,590.05","3,636.00","3,633.25","3,662.51","8,261","3,02,56,022.40","2,450"
"AKZOINDIA","EQ","05-Feb-2025","3,783.65","3,783.65","3,800.65","3,693.65","3,739.55","3,737.60","3,732.50","5,950","2,22,08,364.05","2,424"
"AKZOINDIA","EQ","04-Feb-2025","3,818.90","3,848.90","3,877.45","3,753.60","3,787.85","3,783.65","3,808.78","9,817","3,73,90,795.65","2,949"
"AKZOINDIA","EQ","03-Feb-2025","3,796.90","3,787.45","3,862.65","3,750.15","3,851.00","3,818.90","3,813.27","9,138","3,48,45,669.70","1,870"
"AKZOINDIA","EQ","01-Feb-2025","3,788.10","3,895.00","3,895.00","3,731.85","3,800.00","3,796.90","3,807.26","5,341","2,03,34,586.05","1,304"
"AKZOINDIA","EQ","31-Jan-2025","3,752.65","3,800.25","3,800.25","3,705.30","3,793.00","3,788.10","3,772.93","4,737","1,78,72,370.10","1,423"
"AKZOINDIA","EQ","30-Jan-2025","3,637.10","3,637.10","3,800.00","3,637.10","3,729.80","3,752.65","3,736.65","5,592","2,08,95,333.20","1,918"
"AKZOINDIA","EQ","29-Jan-2025","3,637.30","3,625.00","3,725.70","3,610.00","3,650.00","3,637.10","3,660.72","7,459","2,73,05,292.70","1,956"
"AKZOINDIA","EQ","28-Jan-2025","3,788.20","3,807.10","3,912.00","3,548.80","3,645.40","3,637.30","3,636.14","17,181","6,24,72,535.90","5,950"
"AKZOINDIA","EQ","27-Jan-2025","3,852.45","3,840.05","3,857.45","3,750.00","3,809.50","3,788.20","3,782.61","15,193","5,74,69,184.60","3,582"
"AKZOINDIA","EQ","24-Jan-2025","3,777.75","3,792.70","3,880.00","3,761.75","3,850.00","3,852.45","3,835.52","12,685","4,86,53,543.80","3,160"
"AKZOINDIA","EQ","23-Jan-2025","3,725.80","3,727.70","3,799.80","3,716.70","3,798.00","3,777.75","3,767.10","7,081","2,66,74,820.50","1,946"
"AKZOINDIA","EQ","22-Jan-2025","3,812.35","3,755.00","3,794.00","3,710.00","3,728.00","3,725.80","3,728.55","27,164","10,12,82,378.30","5,528"
"AKZOINDIA","EQ","21-Jan-2025","3,861.50","3,901.95","3,901.95","3,798.05","3,814.80","3,812.35","3,850.19","13,925","5,36,13,945.15","3,168"
"AKZOINDIA","EQ","20-Jan-2025","3,840.65","3,909.55","3,923.30","3,782.30","3,874.00","3,861.50","3,858.67","15,047","5,80,61,344.05","3,712"
"AKZOINDIA","EQ","17-Jan-2025","3,744.20","3,766.00","3,957.90","3,720.00","3,870.00","3,840.65","3,862.72","57,667","22,27,51,710.75","10,716"
"AKZOINDIA","EQ","16-Jan-2025","3,641.90","3,688.00","3,769.65","3,642.20","3,750.00","3,744.20","3,727.99","9,820","3,66,08,888.40","2,789"
"AKZOINDIA","EQ","15-Jan-2025","3,702.95","3,734.80","3,734.80","3,540.05","3,640.05","3,641.90","3,635.98","94,791","34,46,58,261.30","3,162"
"AKZOINDIA","EQ","14-Jan-2025","3,700.45","3,705.00","3,733.30","3,633.10","3,710.00","3,702.95","3,681.19","11,643","4,28,60,052.70","2,903"
"AKZOINDIA","EQ","13-Jan-2025","3,735.35","3,750.00","3,773.80","3,650.00","3,709.00","3,700.45","3,711.99","40,150","14,90,36,267.05","4,877"
"AKZOINDIA","EQ","10-Jan-2025","3,734.50","3,734.50","3,843.00","3,663.10","3,735.00","3,735.35","3,743.66","36,334","13,60,22,320.80","6,974"
"AKZOINDIA","EQ","09-Jan-2025","3,641.00","3,626.30","3,790.00","3,615.00","3,741.15","3,734.50","3,738.80","24,580","9,18,99,684.95","5,628"
"AKZOINDIA","EQ","08-Jan-2025","3,630.80","3,656.20","3,666.20","3,565.00","3,620.00","3,641.00","3,630.42","17,902","6,49,91,762.35","4,557"
"AKZOINDIA","EQ","07-Jan-2025","3,419.95","3,440.00","3,793.00","3,397.95","3,636.35","3,630.80","3,614.27","49,180","17,77,49,855.75","9,664"
"AKZOINDIA","EQ","06-Jan-2025","3,500.05","3,450.00","3,503.60","3,393.60","3,420.00","3,419.95","3,433.09","14,612","5,01,64,294.90","3,879"
"AKZOINDIA","EQ","03-Jan-2025","3,546.85","3,546.85","3,587.85","3,455.55","3,516.00","3,500.05","3,533.33","7,834","2,76,80,108.40","2,581"
"AKZOINDIA","EQ","02-Jan-2025","3,563.45","3,550.00","3,579.70","3,513.45","3,553.50","3,546.85","3,536.26","12,810","4,52,99,514.65","2,541"
"AKZOINDIA","EQ","01-Jan-2025","3,588.75","3,534.90","3,579.95","3,513.35","3,550.00","3,563.45","3,547.77","6,786","2,40,75,134.35","1,929"
"AKZOINDIA","EQ","31-Dec-2024","3,411.40","3,411.40","3,612.00","3,380.10","3,551.50","3,588.75","3,528.04","12,720","4,48,76,719.30","2,978"
"AKZOINDIA","EQ","30-Dec-2024","3,409.05","3,438.00","3,438.35","3,372.65","3,392.50","3,411.40","3,414.62","5,217","1,78,14,081.10","2,070"
"AKZOINDIA","EQ","27-Dec-2024","3,453.70","3,453.95","3,459.35","3,403.25","3,428.00","3,409.05","3,428.85","3,853","1,32,11,354.35","1,318"
"AKZOINDIA","EQ","26-Dec-2024","3,484.40","3,484.40","3,498.85","3,438.15","3,471.40","3,453.70","3,461.89","7,733","2,67,70,824.10","1,526"
"AKZOINDIA","EQ","24-Dec-2024","3,503.90","3,451.55","3,550.00","3,451.55","3,471.00","3,484.40","3,497.84","6,615","2,31,38,190.75","2,144"
"AKZOINDIA","EQ","23-Dec-2024","3,593.20","3,600.00","3,641.95","3,431.25","3,492.80","3,503.90","3,546.39","19,702","6,98,71,040.10","5,800"
"AKZOINDIA","EQ","20-Dec-2024","3,607.60","3,641.60","3,670.00","3,556.00","3,600.50","3,593.20","3,605.83","16,537","5,96,29,529.95","4,163"
"AKZOINDIA","EQ","19-Dec-2024","3,728.90","3,654.30","3,708.80","3,591.65","3,628.90","3,607.60","3,642.28","18,830","6,85,84,046.45","3,521"
"AKZOINDIA","EQ","18-Dec-2024","3,467.85","3,498.35","3,770.00","3,490.45","3,743.90","3,728.90","3,704.30","1,69,471","62,77,71,546.10","20,062"
"AKZOINDIA","EQ","17-Dec-2024","3,534.55","3,534.55","3,564.80","3,463.80","3,473.00","3,467.85","3,481.22","10,367","3,60,89,811.55","2,033"
"AKZOINDIA","EQ","16-Dec-2024","3,548.15","3,547.05","3,573.95","3,501.00","3,535.05","3,534.55","3,521.78","7,960","2,80,33,330.25","1,803"
"AKZOINDIA","EQ","13-Dec-2024","3,561.20","3,561.20","3,569.50","3,504.05","3,560.00","3,548.15","3,539.96","7,232","2,56,00,998.55","2,294"
"AKZOINDIA","EQ","12-Dec-2024","3,589.00","3,611.00","3,619.75","3,548.00","3,577.00","3,561.20","3,572.56","11,410","4,07,62,938.10","3,133"
"AKZOINDIA","EQ","11-Dec-2024","3,580.70","3,579.00","3,625.40","3,575.00","3,584.00","3,589.00","3,595.00","8,544","3,07,15,679.80","2,684"
"AKZOINDIA","EQ","10-Dec-2024","3,586.50","3,626.55","3,660.00","3,539.10","3,575.80","3,580.70","3,586.52","13,869","4,97,41,469.55","5,146"
"AKZOINDIA","EQ","09-Dec-2024","3,674.55","3,718.70","3,718.70","3,580.00","3,590.00","3,586.50","3,610.19","15,452","5,57,84,586.45","3,021"
"AKZOINDIA","EQ","06-Dec-2024","3,648.80","3,684.30","3,724.55","3,634.10","3,649.40","3,674.55","3,662.11","8,446","3,09,30,163.85","2,099"
"AKZOINDIA","EQ","05-Dec-2024","3,713.25","3,734.05","3,745.30","3,625.05","3,640.00","3,648.80","3,673.99","11,060","4,06,34,369.55","2,938"
"AKZOINDIA","EQ","04-Dec-2024","3,714.70","3,714.70","3,800.25","3,692.40","3,696.60","3,713.25","3,736.24","18,254","6,82,01,350.20","5,668"
"AKZOINDIA","EQ","03-Dec-2024","3,635.40","3,670.35","3,799.00","3,622.00","3,742.50","3,714.70","3,671.54","14,373","5,27,70,973.50","4,311"
"AKZOINDIA","EQ","02-Dec-2024","3,707.20","3,662.20","3,724.05","3,603.35","3,632.00","3,635.40","3,648.40","19,166","6,99,25,178.00","4,067"
"AKZOINDIA","EQ","29-Nov-2024","3,735.25","3,739.00","3,755.00","3,668.15","3,690.00","3,707.20","3,710.26","11,845","4,39,47,991.10","2,569"
"AKZOINDIA","EQ","28-Nov-2024","3,732.40","3,768.00","3,800.00","3,682.35","3,710.00","3,735.25","3,741.50","22,069","8,25,71,142.60","4,091"
"AKZOINDIA","EQ","27-Nov-2024","3,605.60","3,605.00","3,770.65","3,575.00","3,766.95","3,732.40","3,698.51","24,265","8,97,44,296.25","4,951"
"AKZOINDIA","EQ","26-Nov-2024","3,642.40","3,645.00","3,722.95","3,588.05","3,602.25","3,605.60","3,654.21","11,902","4,34,92,460.65","2,927"
"AKZOINDIA","EQ","25-Nov-2024","3,639.00","3,747.00","3,782.90","3,625.55","3,664.00","3,642.40","3,688.40","27,836","10,26,70,233.95","5,762"
"AKZOINDIA","EQ","22-Nov-2024","3,631.35","3,655.00","3,659.00","3,605.05","3,640.00","3,639.00","3,634.16","17,699","6,43,21,014.60","4,700"
